대한민국최남단기념비/ 마라도 기념비,제주특별자치도 서귀포시 대정읍 마라로 131
팔도민박,제주특별자치도 서귀포시 대정읍 마라로 109
마라도성당,제주특별자치도 서귀포시 대정읍 마라로 153
마라도기원정사,제주특별자치도 서귀포시 대정읍 마라로 87
철가방을든해녀,제주특별자치도 서귀포시 대정읍 마라로 85
캠프마라도,제주특별자치도 서귀포시 대정읍 마라로 83
마라도등대,제주특별자치도 서귀포시 대정읍 가파리 642
해녀3대할망네,제주특별자치도 서귀포시 대정읍 마라로 79
마라도(마라해양도립공원),제주특별자치도 서귀포시 대정읍 마라로101번길 46
서바당횟집,제주특별자치도 서귀포시 대정읍 마라로 75
마라도게스트하우스,제주특별자치도 서귀포시 대정읍 마라로 73
마라도별장식당,제주특별자치도 서귀포시 대정읍 마라로101번길 43
가파초등학교 마라분교장,제주특별자치도 서귀포시 대정읍 마라로 58
환상의민박,제주특별자치도 서귀포시 대정읍 마라로 45
심봉사눈뜬톳해물짜장짬뽕,제주특별자치도 서귀포시 대정읍 마라로 43
마라도해녀촌짜장,제주특별자치도 서귀포시 대정읍 마라로 41
블루오션,제주특별자치도 서귀포시 대정읍 가파로 53
가파도해물짜장짬뽕,제주특별자치도 서귀포시 대정읍 가파로67번길 1
가파도민박,제주특별자치도 서귀포시 대정읍 가파로67번길 5
가파도 용궁정식,제주특별자치도 서귀포시 대정읍 가파로67번길 7
짜장면시키신분 마라점,제주특별자치도 서귀포시 대정읍 가파로 131
가파도,제주특별자치도 서귀포시 대정읍 가파리
제주올레 10-1코스,제주특별자치도 서귀포시 대정읍 가파리 298
가파도상동펜션,제주특별자치도 서귀포시 대정읍 가파로 255
송악산 진지동굴,제주특별자치도 서귀포시 대정읍 상모리
형제해안도로,제주특별자치도 서귀포시 대정읍 상모리 1649-1
제주올레 10코스,제주특별자치도 서귀포시 대정읍 상모리 산 2-27
섯알오름,제주특별자치도 서귀포시 대정읍 상모리 1618
백조일손지묘(백조일손지지),제주특별자치도 서귀포시 안덕면 사계리
제주전복이야기,제주특별자치도 서귀포시 대정읍 형제해안로 322
제주 강남해물탕,제주특별자치도 서귀포시 대정읍 형제해안로 316
